SUPPLIER;CATEGORY;Serial Number;Description;Quantity in Stock;Purchase Price;GUARANTEE;Location
"VESTEL;Shporet Inter INT6060;42037909;90;KNOB (DELTA, SPINDLE TYPE 1, WHITE);2;0.79;Yes;Depo"
"VESTEL;Shporet Inter INT6060;37002474;56;HANDLE BODY (3D QUADRANGLE,WHITE);10;9.3;Yes;Depo"
VESTEL;TV;23455187;39-FFB-5600 SN7892306700072;CHS.ASSY.17MB211-1K121213922C225151&2;2;13.11;Yes;Depo
VESTEL;TV;23506438;per 32VH52M sn8099591800611;CHS.ASS.17MB211S-1N425136H92A125152WS;3;11.3;Yes;Depo
VESTEL;FRigorifer;32028943;Tani 32019371 per FFV177VW SN1176730209024767170074;THERMOSTAT(FOSHAN KDF27J2);5;3.11;Yes;Depo
VESTEL;ENELARES;32037007;EMO12 FULLV (5.01.2021);DISPLAY CARD D21/KRMZ/20BMD03SR2/2350873;4;5.86;Yes;Depo
VESTEL;KLIMA;32027077;per CIN140  CIN100  e jashtme;FAN MOTOR ODU 12K BLDC (BO);10;21.18;Yes;Depo
"VESTEL;KLIMA;32032797;displej per CIN140;DISP.PCB 7S HD 1""23525034 /KLD14;10;8.78;Yes;Depo"
VESTEL;KLIMA;2 2232089;pllaka e jashtme C140;OD.PCB 32044424 0FFF38-1001AA;10;21.94;Yes;Depo
VESTEL;KLIMA;32031152;Per klime te jashtme CIN140;SENSOR İNV. 46/35/70CM /30096670;5;3.07;Yes;Depo
VESTEL;THARESE;2 2234257;ETH-9K (2021);E.CARD F2-10722375_F seriesCN01;5;16.99;Yes;Depo
VESTEL;THARESE;22215517;ETH-9K (2021);E.CARD F2-10722375_F seriesCN00;5;6.94;Yes;Depo
VESTEL;LAVATRIQE;2 2243509;WM601N  SN00788314006783520286;HT.CARD F1A-2279FFF020100000-V0423;4;12.91;Yes;Depo
VESTEL;THARESE;22107757;Displej per ETH-9HP;F4T CARD GR.K240/AMBER-DELİCATE-v00r;5;11.93;Yes;Depo
VESTEL;THARESE;4 2233130;ETH-9K;UPPER TRAY GROUP/112LT FOLYOLU;1;11.35;Yes;Depo
"VESTEL;THARESE;42163416;Tani 42233129 Kapak per ETH-9KN, ETH-8HP;**UPPER TRAY GROUP/100LT;3;8.59;Yes;Depo"
VESTEL;Frigorifer;32007063;ECO 234;CAPACITOR 4uF/B-S3/6.3;5;1.72;Yes;Depo
VESTEL;ENELARES;3 2037007;EMO12 FULLV (14/11/2020);DISPLAY CARD D21/KRMZ/20BMD03SR2/2350873;1;5.86;Yes;Depo
VESTEL;THARESE;22107762;ETH-9HP  e madhja;E.CARD F4T-2203560100_rev1_k240-v04e;4;24.63;Yes;Depo
VESTEL;THARESE;2 2251499;ETH-8K   11MARS21;E.CARD F1-10722374_F seriesCN02;3;16.85;Yes;Depo
VESTEL;LAVATRIQE;22079912;per WM7-800G (2019). Mund te zavendesohet me pllaken e lire 20845895;E.CARD F2A-27167FF020100000-R-V06L;2;28.64;Yes;Depo
VESTEL;LAVATRIQE;2 0881606;PER WM8-1400;**E.CARD F2A-42167FF02030-64K-RATIO-A;2;16.37;Yes;Depo
VESTEL;Frigorifer;47022261;;WINE SHELF/2795/RV(ZINC);1;2.34;Yes;Depo
VESTEL;Frigorifer;37030867;;DOD -DOOR HANG/1400 ANK RV1;10;1.45;Yes;Depo
VESTEL;Frigorifer;32007063;Per ECO234;CAPACITOR 4uF/B-S3/6.3;20;1.72;Yes;Depo
VESTEL;Frigorifer;32015621;Tani 32046022;THERMOSTAT(FOSHAN KDF25L2)PLS;9;3.23;Yes;Depo
VESTEL;LAVATRIQE;42027605;WM7-1000;LIGHT GUIDE QUAD/AURA;2;0.216;Yes;Depo
VESTEL;LAVATRIQE;2 0648900;;RESISTANCE GR.(S.FUSE-DÜZ(1850W));1;4.163;Yes;Depo
VESTEL;LAVATRIQE;22311645;WM8K-1000 (2022). Kjo nuk e zavendeson  22069635(2019);E.CARD F4-3746FFF020100000-v06L;7;15.96;Yes;Depo
VESTEL;LAVATRIQE;2 2136855;WM10K-1300;VEL.CARD F4;10;26.49;Yes;Depo
VESTEL;LAVATRIQE;2 2040926;WM10K-1300;**E.CARD F4-4844FFF02030-V06C;10;22.36;Yes;Depo
VESTEL;LAVATRIQE;20881606;PER WM8-1400;**E.CARD F2A-42167FF02030-64K-RATIO-A;10;16.37;Yes;Depo
VESTEL;LAVATRIQE;22255258;WM601N;*E.CARD F1A-2279FFF004100000-32K-NL-V03İ;5;14.85;Yes;Depo
VESTEL;LAVATRIQE;2 0845895;PER WM7-800G;**E.CARD F2C-27367FF02010-48K-A;5;14.49;Yes;Depo
VESTEL;LAVATRIQE;32008162;ZAV.TANI 32028908;PUMP-HANYU(RAST 5)  pumpa e ujit KOMPLET;2;4.96;Yes;Depo
VESTEL;ENELARES;2 2251740;EMO-12FULLV;ELEC.CARD VI13=_TI;10;16.3;Yes;Depo
VESTEL;ENELARES;22224041;EMO-18IXV;ELEC.CARD VA1E_Q_YR_BZSIZ _CL;5;1.5067;Yes;Depo
VESTEL;ENELARES;22181292;EMO12-FULLV;ELEC.CARD VI13;5;23.42;Yes;Depo
VESTEL;ENELARES;3 2048020;;DIS.KART I1/DSIZ/BYZ/BMD03/R3/23762545;4;3.57;Yes;Depo
VESTEL;ENELARES;32001602;Tani 22062250;WASHING PUMP/ASYNCHRONOUS;6;15.53;Yes;Depo
"VESTEL;ENELARES;3 2048181;EMO-12FULLV, 20FULLV;DIS.KART I1/DSIZ/B/BMD03R3/TI/23758609;5;3.09;Yes;Depo"
VESTEL;SHPORET;3 2038521;I poshtmi ;HEATER 66TOP230V1100W SAHTERM;2;2.1;Yes;Depo
VESTEL;SHPORET;32032381;;TIMER DIGITAL FULL REDGROP;2;7.98;Yes;Depo
VESTEL;THARESE;22124421;ETH-8K;E.CARD F1-100560100-v04h_rev1;4;26.0793;Yes;Depo
VESTEL;THARESE;42233130;Kapak per ETH-9HP;UPPER TRAY GROUP/112LT FOLYOLU;5;11.35;Yes;Depo
VESTEL;THARESE;42163416;Tani 42233129 Kapak per ETH-8K;**UPPER TRAY GROUP/100LT;5;8.59;Yes;Depo
VESTEL;THARESE;4 2232588;ETH-8K ;BELT(7-8-9 KG)-7PH2012 SH200-HUTCHINSON;16;5.76;Yes;Depo
"VESTEL;KLIMA;32032797;displej per CIN140;DISP.PCB 7S HD 1""23525034 /KLD14;5;3.78;Yes;Depo"
VESTEL;LAVATRIQE;42027603;WM7-1000;SELECTION BUTTON QUAD/AURA;5;0.4218;Yes;Depo
VESTEL;LAVATRIQE;2 2243509;WM601N  SN00788314006783520286;HT.CARD F1A-2279FFF020100000-V0423;10;12.918;Yes;Depo
VESTEL;LAVATRIQE;22226880;WM8-1400 SN00716102005957060174;VEL.CARD F2A-42167FF020300000-V02.8-R;4;14.84;Yes;Depo
VESTEL;FRIGORIFERA ;30014912;Per frigorifer ECO C366Ix  ;F SENSOR/540;5;0.98;Yes;Depo
VESTEL;LAVATRIQE;4 2087110;WM611    PRODHIM 2020;TUB ENTERANCE WITH BELLOW HOSE-C;1;0.73;Yes;Depo
VESTEL;LAVATRIQE;4 2002568;WM611;TUB BELLOWS SEAL/ALVA 3-A;5;0.59;Yes;Depo
VESTEL;THARESE;42204991;42161603  ETH-8K;FILTER CASETTE GR (DIAMOND)-WHİTE-(PPT20;3;3.28;Yes;Depo
VESTEL;THARESE;42204992;42164812 ETH-9HP;DOUBLE FILTER CA. ASSY;3;5.2097;Yes;Depo
"VESTEL;THARESE;22242997;ETH-10K, ETH-9HP;F4T CARD GR.K240/AMBER-DELİCATE-v01s;10;8.0147;Yes;Depo"
VESTEL;THARESE;22252902;ETH-10K;E.CARD F4T-10722380;10;16.087;Yes;Depo
VESTEL;THARESE;2 2234290;per ETH-10K;E. CARDGR F4T-K240;8;7.23;Yes;Depo
VESTEL;TV;23476926;nga 39-HD-2111 e zavendeson edhe 23367482;17IPS62r4;2;6.78;Yes;Depo
VESTEL;TV;23755499;nga 39-HD-2111;17MB181;10;35.02;Yes;Depo
"VESTEL;THARESE;22065359;Per ETH-8K, ETH-9K, etj;FR.PAN.GR/F/SINGLE;5;14;Yes;Depo"
"VESTEL;THARESE;42163360;kapak anesor rrjete Per ETH-8K, ETH-9K, etj;PLINTH 1/HP-COND/F SERIES/WHT;2;1.11;Yes;Depo"
"VESTEL;THARESE;42273481;kapak anesor Per ETH-8K, ETH-9K, etj;PLINTH COVER HP/F SERISI/WHT;1;2.06;Yes;Depo"
"VESTEL;LAVATRIQE;32000535;Tani 32019343 per WM9K-1200, WM8-1400, WM9-1100;MOTOR(600/800/1000 RPM 48/52/57 LT);2;28;Yes;Depo"
"VESTEL;LAVATRIQE;32016268;Tani 32017283 per WM611, 601N;MOTOR(32/40/41/42-4/5/6/8 RPM)AL.WELLING;10;32.17;Yes;Depo"
VESTEL;LAVATRIQE;32016813;;RESISTANCE 2000W PYTH(60)NIC.DIF.;3;4.61;Yes;Depo
VESTEL;SHPORET;3 2001459;;CAP. THERMOSTAT 285C NGBI/FO/DO TCS;1;3.73;Yes;Depo
VESTEL;LAVATRIQE;22039121;WM10K-1200;**E.CARD F2A-48136FF02030-RATIO-V06C;3;21.43;Yes;Depo
VESTEL;LAVATRIQE;20859196;;**E.CARD F2A-21167FF02030-48K-A;5;14.5;Yes;Depo
VESTEL;LAVATRIQE;2 2089096;WM10K-PREMIUM SN00721259005100560050;E.CARD FG-5DAFFFC078D40000-v01p;5;27.79;Yes;Depo
"VESTEL;LAVATRIQE;32048313;WM8K-1000R, WM7-800, WM8-1400, WM601N, WM10K-1200;PUMP(LEILI-13MM);5;4.49;Yes;Depo"
VESTEL;TV;30104304;65-QUH-2311 SN8994516300004;ASSY TCON LG 2D LC650EQQ-SMA3;8;36.7;Yes;Depo
VESTEL;TV;30104299;JVC 55VA8000  SN8612493100017;ASSY TCON LG 2D LC550EQQ-SMA4;8;36.48;Yes;Depo
VESTEL;FRIGORIFER;32029716;ECO-SB620BLV-BLACK;TERMAL FUSE DOUBLE/NOVA;10;2.13;Yes;Depo
VESTEL;ENELARES;32026861;Tani 20860405 per ;ELECT.CARD C14-2_SMPS;10;7.07;Yes;Depo
VESTEL;fRIGORIFER;32007054;395  1T inox frigorifer;CAPACITOR 3uF/B-S3/6.3;3;1.69;Yes;Depo
VESTEL;TV;23647097;JVC 55VA8000(SN8612493100017);CHS.ASSY.17MB170-11833236H91A42518459;10;49.16;Yes;Depo
VESTEL;LAVATRIQE;22145703;WM8-80;DRUM GROUP/51-ALVA B2-SK;15;46.35;Yes;Depo
